,airport,state
0,DFW,TX
1,MCO,FL
2,CLE,OH
3,MEM,TN
4,OMA,NE
5,LGA,NY
6,CVG,KY
7,PSC,WA
8,STL,MO
9,SEA,WA
10,SJC,CA
11,ORD,IL
12,IAH,TX
13,ATL,GA
14,CMH,OH
15,ILM,NC
16,MSP,MN
17,PHX,AZ
18,AUS,TX
19,SYR,NY
20,LAX,CA
21,HNL,HI
22,ORF,VA
23,MYR,SC
24,PDX,OR
25,CHS,SC
26,SMF,CA
27,DTW,MI
28,SNA,CA
29,PHL,PA
30,IAD,VA
31,LAS,NV
32,OGG,HI
33,ABI,TX
34,SLC,UT
35,EWR,NJ
36,PVD,RI
37,SFO,CA
38,RDU,NC
39,MDW,IL
40,DAL,TX
41,SAT,TX
42,RNO,NV
43,JAX,FL
44,HRL,TX
45,JAN,MS
46,ISP,NY
47,TPA,FL
48,JFK,NY
49,FCA,MT
50,PIT,PA
51,CLT,NC
52,BUF,NY
53,OKC,OK
54,ANC,AK
55,SAN,CA
56,BET,AK
57,FLL,FL
58,SBA,CA
59,GJT,CO
60,DEN,CO
61,MIA,FL
62,BZN,MT
63,FWA,IN
64,BDL,CT
65,BOI,ID
66,GSO,NC
67,GSP,SC
68,OAK,CA
69,LAN,MI
70,YUM,AZ
71,MKE,WI
72,MQT,MI
73,ONT,CA
74,ELP,TX
75,LBB,TX
76,PBI,FL
77,SJU,PR
78,ACY,NJ
79,CAK,OH
80,ABQ,NM
81,KOA,HI
82,BNA,TN
83,IDA,ID
84,EVV,IN
85,LEX,KY
86,ITO,HI
87,SBP,CA
88,BOS,MA
89,KTN,AK
90,SGF,MO
91,HOU,TX
92,ALB,NY
93,TUL,OK
94,ABE,PA
95,AMA,TX
96,LIT,AR
97,IND,IN
98,ROA,VA
99,ROC,NY
100,SAV,GA
101,TOL,OH
102,FAT,CA
103,MCI,MO
104,MSN,WI
105,DCA,VA
106,GRR,MI
107,BUR,CA
108,AVL,NC
109,MLU,LA
110,ACV,CA
111,RIC,VA
112,COS,CO
113,DAY,OH
114,GRB,WI
115,CRP,TX
116,FNT,MI
117,ICT,KS
118,TLH,FL
119,XNA,AR
120,CRW,WV
121,GEG,WA
122,HPN,NY
123,VPS,FL
124,CMI,IL
125,LNK,NE
126,EYW,FL
127,BWI,MD
128,MAF,TX
129,HSV,AL
130,TUS,AZ
131,PSP,CA
132,SHV,LA
133,MSY,LA
134,LIH,HI
135,FAR,ND
136,EUG,OR
137,SDF,KY
138,MHT,NH
139,DSM,IA
140,FLO,SC
141,ISO,NC
142,MFE,TX
143,RDD,CA
144,BHM,AL
145,BMI,IL
146,FSD,SD
147,RSW,FL
148,FAY,NC
149,CAE,SC
150,MTJ,CO
151,LWB,WV
152,CLD,CA
153,RAP,SD
154,PWM,ME
155,GPT,MS
156,TYS,TN
157,SRQ,FL
158,MBS,MI
159,AVP,PA
160,AZO,MI
161,CEC,CA
162,MFR,OR
163,DAB,FL
164,TUP,MS
165,CID,IA
166,PNS,FL
167,JNU,AK
168,GNV,FL
169,MRY,CA
170,SGU,UT
171,MOB,AL
172,PHF,VA
173,LAW,OK
174,MEI,MS
175,LFT,LA
176,EGE,CO
177,GUC,CO
178,TRI,TN
179,LGB,CA
180,BIL,MT
181,CSG,GA
182,SCE,PA
183,GTF,MT
184,BFL,CA
185,FAI,AK
186,EKO,NV
187,DRO,CO
188,BQK,GA
189,TVC,MI
190,MDT,PA
191,CLL,TX
192,HTS,WV
193,LSE,WI
194,MSO,MT
195,JAC,WY
196,RDM,OR
197,MLI,IL
198,MOD,CA
199,CPR,WY
200,VLD,GA
201,BTR,LA
202,CHA,TN
203,STT,VI
204,MOT,ND
205,BTV,VT
206,SPS,TX
207,PIH,ID
208,PIA,IL
209,LWS,ID
210,SMX,CA
211,BGR,ME
212,SJT,TX
213,STX,VI
214,VIS,CA
215,HDN,CO
216,ACT,TX
217,GRK,TX
218,BRO,TX
219,FSM,AR
220,LCH,LA
221,DBQ,IA
222,DHN,AL
223,MLB,FL
224,IPL,CA
225,PFN,FL
226,GGG,TX
227,SBN,IN
228,OXR,CA
229,IYK,CA
230,LRD,TX
231,TWF,ID
232,PSG,AK
233,RST,MN
234,BQN,PR
235,BPT,TX
236,AEX,LA
237,ERI,PA
238,CIC,CA
239,MGM,AL
240,CDC,UT
241,PIE,FL
242,BIS,ND
243,SWF,NY
244,DLG,AK
245,SUN,ID
246,COD,WY
247,ASE,CO
248,ATW,WI
249,OME,AK
250,GTR,MS
251,CHO,VA
252,GFK,ND
253,BLI,WA
254,ABY,GA
255,TXK,AR
256,APF,FL
257,DLH,MN
258,TYR,TX
259,LYH,VA
260,SPI,IL
261,HLN,MT
262,YAK,AK
263,CWA,WI
264,MCN,GA
265,ILG,DE
266,AKN,AK
267,SIT,AK
268,FLG,AZ
269,HVN,CT
270,BRW,AK
271,BTM,MT
272,BGM,NY
273,OTZ,AK
274,SCC,AK
275,CDV,AK
276,WRG,AK
277,AGS,GA
278,HKY,
279,RFD,IL
280,SOP,
281,WYS,MT
282,PSE,PR
283,ADQ,AK
284,GST,AK
285,TEX,CO
286,ACK,MA
287,TTN,NJ
288,VCT,TX
289,,MN
MSP,,MN
